policy,episode,total_runtime,total_tasks_created,total_tasks_accepted,total_tasks_skipped,total_tasks_completed,total_reward,avg_queue_time,avg_load_imbalance,server_0_selection,server_1_selection,server_2_selection
Round Robin,55,0.0739743709564209,300,300,0,300,-348.7372,333.1055555555555,15.462461468882424,100.0,100.0,100.0
Round Robin,56,0.08025622367858887,300,300,0,300,-361.41342,332.6322222222222,17.422122586645553,100.0,100.0,100.0
Round Robin,57,0.06410026550292969,300,300,0,300,-314.2447,317.51777777777784,8.977255118650865,100.0,100.0,100.0
Round Robin,58,0.0822293758392334,300,300,0,300,-344.37543,330.60222222222217,14.260409157067137,100.0,100.0,100.0
Round Robin,59,0.07683944702148438,300,300,0,300,-320.33704,309.35666666666685,13.40623672210179,100.0,100.0,100.0
Round Robin,60,0.06347870826721191,300,300,0,300,-311.55118,312.76000000000005,9.54308016597945,100.0,100.0,100.0
Round Robin,61,0.07945084571838379,300,300,0,300,-331.43277,323.65999999999997,12.755056180944564,100.0,100.0,100.0
Round Robin,62,0.06381058692932129,300,300,0,300,-310.2622,309.0033333333335,10.51916986506584,100.0,100.0,100.0
Round Robin,63,0.07940840721130371,300,300,0,300,-320.7896,316.16888888888883,11.362772872756203,100.0,100.0,100.0
Round Robin,64,0.07947969436645508,300,300,0,300,-324.13705,317.7755555555554,11.38849869170586,100.0,100.0,100.0
Round Robin,65,0.06421351432800293,300,300,0,300,-338.89493,332.15666666666675,11.682988267550364,100.0,100.0,100.0
Round Robin,66,0.06373476982116699,300,300,0,300,-340.48862,333.8588888888889,12.214466299920504,100.0,100.0,100.0
Round Robin,67,0.07937026023864746,300,300,0,300,-346.08014,340.0299999999998,11.862979966892276,100.0,100.0,100.0
Round Robin,68,0.06349396705627441,300,300,0,300,-339.52197,324.41333333333336,15.736229030414098,100.0,100.0,100.0
Round Robin,69,0.07972598075866699,300,300,0,300,-322.29388,322.2199999999999,10.753395065330484,100.0,100.0,100.0
Round Robin,70,0.07000231742858887,300,300,0,300,-409.69315,336.66888888888883,30.098067526331132,100.0,100.0,100.0
Round Robin,71,0.07396268844604492,300,300,0,300,-353.5098,345.2577777777778,12.75453366930625,100.0,100.0,100.0
Round Robin,72,0.06468605995178223,300,300,0,300,-374.31104,336.70777777777784,19.994167033762405,100.0,100.0,100.0
Round Robin,73,0.07809257507324219,300,300,0,300,-344.31958,319.15333333333325,17.073240924858627,100.0,100.0,100.0
Round Robin,74,0.07898950576782227,300,300,0,300,-391.32968,312.5122222222223,32.202290978809515,100.0,100.0,100.0
Round Robin,75,0.07928919792175293,300,300,0,300,-336.51392,322.93888888888875,15.052376180385114,100.0,100.0,100.0
Round Robin,76,0.09456753730773926,300,300,0,300,-348.3672,337.28555555555545,14.408656248544156,100.0,100.0,100.0
Round Robin,77,0.0843966007232666,300,300,0,300,-355.5206,344.8977777777779,13.821067303431064,100.0,100.0,100.0
Round Robin,78,0.0850989818572998,300,300,0,300,-378.6713,352.46666666666664,20.7592824995042,100.0,100.0,100.0
Round Robin,79,0.06922721862792969,300,300,0,300,-342.225,310.9533333333332,19.90683548968363,100.0,100.0,100.0
Round Robin,80,0.0639193058013916,300,300,0,300,-353.88788,319.93111111111097,18.350111185113164,100.0,100.0,100.0
Round Robin,81,0.07929587364196777,300,300,0,300,-351.5503,316.2533333333334,19.170964853069346,100.0,100.0,100.0
Round Robin,82,0.07948660850524902,300,300,0,300,-353.68723,329.4844444444443,19.903712209433877,100.0,100.0,100.0
Round Robin,83,0.07971048355102539,300,300,0,300,-332.53503,321.15777777777777,13.854644322549445,100.0,100.0,100.0
Round Robin,84,0.06377577781677246,300,300,0,300,-368.99478,334.7855555555557,19.407272884251856,100.0,100.0,100.0
Round Robin,85,0.06676721572875977,300,300,0,300,-343.7601,323.52111111111094,16.85624087875166,100.0,100.0,100.0
Round Robin,86,0.0768289566040039,300,300,0,300,-345.68494,341.1944444444443,12.105617934901586,100.0,100.0,100.0
Round Robin,87,0.06400918960571289,300,300,0,300,-384.0425,331.8988888888888,23.62435944729758,100.0,100.0,100.0
Round Robin,88,0.07932233810424805,300,300,0,300,-391.46234,331.1577777777779,29.014289439912076,100.0,100.0,100.0
Round Robin,89,0.06349587440490723,300,300,0,300,-384.4289,338.56444444444446,23.467368566954363,100.0,100.0,100.0
Round Robin,90,0.07932257652282715,300,300,0,300,-331.0162,343.2377777777776,7.259774633764102,100.0,100.0,100.0
Round Robin,91,0.06372237205505371,300,300,0,300,-352.85287,331.44222222222214,16.27784719519607,100.0,100.0,100.0
Round Robin,92,0.07951211929321289,300,300,0,300,-326.22296,323.60111111111115,11.073472059726214,100.0,100.0,100.0
Round Robin,93,0.0636129379272461,300,300,0,300,-340.36374,312.702222222222,18.07618844692526,100.0,100.0,100.0
Round Robin,94,0.07964539527893066,300,300,0,300,-368.83994,310.0944444444444,24.786296047702855,100.0,100.0,100.0
Round Robin,95,0.06372261047363281,300,300,0,300,-337.70972,325.2766666666667,13.481167534768293,100.0,100.0,100.0
Round Robin,96,0.08678627014160156,300,300,0,300,-331.75613,329.2866666666665,11.015809160260963,100.0,100.0,100.0
Round Robin,97,0.05651140213012695,300,300,0,300,-329.0334,319.30777777777786,12.803772391516086,100.0,100.0,100.0
Round Robin,98,0.08998560905456543,300,300,0,300,-341.94528,328.24444444444464,14.905906474257538,100.0,100.0,100.0
Round Robin,99,0.06353139877319336,300,300,0,300,-355.04315,326.33777777777783,17.71354667337041,100.0,100.0,100.0
Round Robin,100,0.07946205139160156,300,300,0,300,-350.25778,324.8177777777777,18.870661082465602,100.0,100.0,100.0
